ID_Meta,Dimension,Longitudinal,Etapa,Meta_Texto,Pasos,Para_Score
SOC004,social,si,exploracion,Reducir el tiempo en redes sociales a 1 hora diaria por 4 semanas.,"Usar la función de ""bienestar digital"" de mi celular para poner un límite; Desactivar las notificaciones de 3 apps; Reemplazar 30 min de scroll con una llamada a un amigo.",
SOC005,social,si,exploracion,Dar seguimiento a un contacto que hice en un evento de networking.,Enviar un correo o mensaje de LinkedIn dentro de las 24h; Mencionar algo específico de su conversación; Proponer una breve llamada o café para seguir platicando.,
INT001,intelectual,si,exploracion,Leer 1 libro no académico en 5 semanas.,Pedir 3 recomendaciones de libros a amigos o mentores; Elegir y conseguir el libro esta semana; Leer 15 páginas o 20 minutos al día.,
INT002,intelectual,si,exploracion,Escuchar 3 episodios de un podcast sobre un tema nuevo para mí cada semana.,Explorar categorías de podcasts que no conozco; Suscribirme a 2 podcasts que parezcan interesantes; Comentar un dato interesante que aprendí con un amigo.,
INT003,intelectual,si,exploracion,Ver una charla TED a la semana y escribir 3 ideas clave que me dejó.,"Crear una playlist de charlas TED sobre un tema (ej. IA, sostenibilidad); Ver la primera charla esta semana; Compartir una de las ideas en mis redes o con mi familia.",
INT004,intelectual,si,exploracion,Aprender 5 conceptos básicos sobre Inteligencia Artificial Generativa.,Buscar un artículo o video introductorio sobre IA Generativa; Probar una herramienta como ChatGPT o Gemini con prompts específicos; Explicarle a alguien qué es la IA Generativa.,
INT005,intelectual,si,exploracion,Visitar un museo o exposición cultural (virtual o presencial) en 3 semanas.,Investigar la cartelera cultural de mi ciudad; Elegir una exposición y comprar los boletos; Invitar a un amigo o familiar a que me acompañe.,
ESP001,espiritual,si,exploracion,"Meditar 10 minutos al día usando una app (Headspace, Calm) por 30 días.",Descargar una app de meditación y hacer la sesión introductoria; Poner un recordatorio diario a la misma hora; Crear un espacio cómodo y sin distracciones para meditar.,
ESP002,espiritual,si,exploracion,Pasar 30 minutos a la semana en contacto con la naturaleza sin tecnología.,Identificar un parque o área verde cerca de mi casa o del campus; Agendar esta actividad en mi calendario como una cita; Dejar el celular en modo avión durante ese tiempo.,
ESP003,espiritual,si,exploracion,Escribir sobre mis valores personales y cómo se alinean con mis acciones.,Hacer una lista de 10 valores importantes para mí; Elegir los 3 más importantes; Escribir un ejemplo de cómo viví uno de esos valores esta semana.,
ESP004,espiritual,si,exploracion,Participar en un círculo de diálogo o grupo de reflexión en el campus.,Investigar si Punto Blanco u otros departamentos ofrecen estos espacios; Inscribirme a una sesión esta semana; Escuchar activamente sin juzgar las opiniones de otros.,
ESP005,espiritual,si,exploracion,Realizar un acto de amabilidad anónimo cada semana.,Hacer una lluvia de ideas de actos sencillos (ej. dejar una nota positiva); Realizar el primer acto esta semana; Reflexionar por 1 minuto sobre cómo me sentí al hacerlo.,
FIN001,financiera,si,exploracion,Crear un presupuesto mensual y registrar todos mis gastos por 5 semanas.,"Descargar una app de finanzas personales (ej. Fintonic, Mobills); Conectar mi cuenta o registrar mis gastos manualmente por una semana; Analizar mis gastos y crear categorías de presupuesto.",
FIN002,financiera,si,exploracion,"Ahorrar el 15% de mis ingresos (mesada, beca, trabajo) este periodo.",Abrir una cuenta de ahorro o apartado específico; Programar una transferencia automática el día que recibo dinero; Ponerle un nombre a mi meta de ahorro para motivarme.,
FIN003,financiera,si,exploracion,"Reducir en un 20% mis ""gastos hormiga"" (cafés, snacks, etc.).",Registrar todos los gastos hormiga por una semana; Establecer un límite semanal para esta categoría; Preparar mi café o snacks en casa 3 veces por semana.,
FIN004,financiera,si,exploracion,"Investigar sobre 2 opciones de inversión para principiantes (ej. Cetes, fondos).","Ver un video o leer un artículo sobre ""cómo empezar a invertir en México""; Comparar las características de Cetesdirecto y un fondo de inversión de bajo riesgo; Abrir una cuenta en una de las plataformas.",
FIN005,financiera,si,exploracion,Completar un taller o curso online gratuito sobre finanzas personales.,Buscar cursos en plataformas como la CONDUSEF o Coursera; Inscribirme y completar el primer módulo esta semana; Aplicar un consejo aprendido inmediatamente.,
,espiritual,,enfoque,Documentar mi trayectoria para Premio LiFE con 50+ horas de evidencias en 6 semanas,Revisar requisitos de Premio LiFE esta semana;Crear carpeta digital con evidencias;Documentar actividades de voluntariado;Recopilar cartas de recomendación;Redactar ensayo de aplicación,
,espiritual,si,enfoque,Completar 100 horas de Servicio Social Comunitario este semestre,Calcular horas faltantes en Mi Tec;Buscar proyectos disponibles 2do/3er periodo;Inscribirse antes del cierre de convocatoria;Comprometerse con horario fijo semanal,
,espiritual,si,enfoque,Leer 3 libros de desarrollo personal/propósito este semestre,Seleccionar primer libro esta semana;Establecer meta de 20 páginas diarias;Crear grupo de discusión con amigos;Escribir reflexiones después de cada libro,
,espiritual,si,enfoque,Asistir semanalmente a Punto Blanco para mindfulness y reflexión,Ubicar Punto Blanco en campus;Revisar horario de actividades;Apartar 1 hora semanal fija;Llevar diario de reflexiones,
,espiritual,,enfoque,Ser mentor/a voluntario para estudiantes de primeros semestres,Contactar a mi mentor actual;Preguntar sobre oportunidades de mentoría;Definir 2 horas semanales para apoyo;Crear plan de acompañamiento,
,ocupacional,,enfoque,Optimizar presencia profesional con CVDP en 3 semanas,Agendar revisión de CV con AI esta semana;Asistir a taller de LinkedIn;Programar 3 simulacros de entrevista;Actualizar portafolio digital,
,ocupacional,,enfoque,Aplicar a 15 prácticas TOP para Semestre Tec en 4 semanas,Identificar 10 empresas objetivo;Personalizar CV para cada industria;Enviar 4 aplicaciones semanales;Dar seguimiento cada 5 días,
,ocupacional,,enfoque,Participar en Semana de Consultoras del campus,Investigar consultoras participantes;Preparar caso de estudio;Practicar con compañeros;Aplicar a 3 firmas mínimo,
,ocupacional,,enfoque,Unirse a grupo estudiantil de consultoría por un semestre,Contactar Tec Consulting Group;Asistir a sesión informativa;Comprometerse con proyecto;Dedicar 5 horas semanales,
,ocupacional,,enfoque,Asistir a EmpleaTec y conseguir 5 entrevistas,Registrarse al evento;Investigar empresas participantes;Preparar elevator pitch;Llevar 20 CVs impresos;Dar seguimiento post-evento,
,ocupacional,si,enfoque,Construir perfil LinkedIn ,Asistir a taller CVDP de LinkedIn;Completar todas las secciones del perfil;Publicar contenido semanalmente;Conectar con 10 profesionales por semana,
,intelectual,si,enfoque,Explorar clase LiFE de arte/cultura nueva este periodo,Revisar catálogo LiFE disponible;Elegir entre teatro fotografía música pintura;Inscribirse en primera semana;Asistir al 80% de sesiones,
,intelectual,,enfoque,Certificar idioma para intercambio en 8 semanas,Investigar requisitos por destino;Agendar fecha de examen;Estudiar 2 horas diarias;Tomar 3 simulacros completos,
,intelectual,si,enfoque,Liderar equipo en reto de Unidad de Formación,Identificar retos disponibles;Formar equipo de 4 personas;Agendar reuniones semanales;Entregar proyecto final,
,intelectual,,enfoque,Completar micro-credencial digital del Tec,Explorar catálogo de micro-credenciales;Elegir habilidad emergente;Dedicar 10 horas semanales;Obtener certificado verificable,
,intelectual,,enfoque,Participar como ponente en congreso estudiantil,Identificar congresos del semestre;Preparar abstract de investigación;Desarrollar presentación;Practicar ponencia 5 veces,
,social,si,enfoque,Ser staff activo en sociedad estudiantil por un semestre,Elegir sociedad afín a intereses;Postularse a posición de coordinación;Asistir a todas las reuniones;Organizar al menos 2 eventos,
,social,,enfoque,Organizar panel de egresados para orientación Semestre Tec,Contactar 5 egresados de la carrera;Reservar auditorio;Promocionar evento;Moderar panel;Documentar consejos clave,
,social,,enfoque,Crear grupo de WhatsApp/Discord de generación para apoyo,Recopilar contactos de compañeros;Crear grupo con reglas claras;Organizar reuniones quincenales;Compartir recursos útiles,
,social,si,enfoque,Asistir a 5 eventos de networking del campus este semestre,Revisar calendario de eventos;Preparar tarjetas de presentación;Asistir con objetivo claro;Dar seguimiento a contactos,
,social,,enfoque,Coordinar reuniones informales semanales anti-estrés,Proponer día y hora fija;Reservar espacio cómodo;Planear actividades relajantes;Mantener ambiente positivo,
,fisica,si,enfoque,Completar programa WellnessTec de 8 semanas,Inscribirse con nutriólogo del Tec;Asistir a cita inicial;Seguir plan alimenticio;Hacer evaluaciones de seguimiento,
,fisica,si,enfoque,Caminar 30 minutos diarios por el campus entre clases,Identificar rutas en campus;Llegar temprano para caminar;Usar descansos entre clases;Invitar compañeros,
,financiera,si,enfoque,Investigar becas de movilidad internacional,Solicitar orientación con Programas Internacionales;Preparar documentos requeridos;Cumplir con fechas límite;Solicitar cartas de apoyo,
,financiera,si,enfoque,Conseguir posición como asistente de investigación con beca,Contactar profesores SNI;Presentar propuesta de colaboración;Comprometer 15 horas semanales;Firmar convenio de beca,
,financiera,si,enfoque,Desarrollar proyecto para INCmty con potencial de financiamiento,Formar equipo emprendedor;Validar idea de negocio;Preparar pitch deck;Aplicar a convocatoria;Presentar ante jueces,
,financiera,si,enfoque,Crear plan financiero detallado para gastos de graduación,Calcular costos de titulación;Presupuestar toga y anillo;Planear viaje de graduación;Establecer meta de ahorro mensual,
,financiera,si,enfoque,Llevar registro de gastos diarios y ahorrar 10% de ingresos,Descargar app de finanzas;Registrar cada gasto;Establecer presupuesto semanal;Automatizar ahorro del 10%,
,emocional,si,enfoque,Participar en talleres de Consejería Emocional para ansiedad,Agendar cita en Orientación;Asistir a taller de manejo de ansiedad;Practicar técnicas aprendidas;Dar seguimiento mensual,
,emocional,si,enfoque,Completar programa Mindfulness ,Inscribirse a algún programa de mindfulness disponible;Asistir a sesiones semanales;Practicar 10 minutos diarios,
,emocional,si,enfoque,Formar círculo de apoyo con compañeros y compañeras,Identificar 4-5 compañeros en misma etapa;Establecer reunión semanal;Crear espacio seguro de expresión;Apoyarse mutuamente,
,emocional,si,enfoque,Escribir 3 gratitudes diarias antes de dormir,Comprar libreta especial;Establecer recordatorio 10pm;Escribir 3 cosas positivas del día;Revisar semanalmente,
,emocional,si,enfoque,Utilizar servicios de TQueremos cuando necesite apoyo,Guardar número de TQueremos;Llamar cuando sienta necesidad;Agendar sesiones de seguimiento;No dudar en pedir ayuda,
,,,enfoque,Crear matriz de decisión para Semestre Tec en 2 semanas,Identificar 5 opciones viables;Establecer 10 criterios de evaluación;Asignar pesos a cada criterio;Tomar decisión informada,
,,,enfoque,Contactar 15 estudiantes que realizaron opciones de interés,Buscar contactos en LinkedIn;Agendar coffee chats virtuales;Preparar preguntas específicas;Documentar aprendizajes,
,ocupacional,,enfoque,Completar checklist pre-intercambio en 4 semanas,Renovar pasaporte si necesario;Investigar requisitos de visa;Cotizar seguro médico;Buscar opciones de alojamiento,
,ocupacional,,enfoque,Completar 200 horas de servicio social antes del próximo periodo,Revisar horas acumuladas en Mi Tec;Calcular horas semanales necesarias;Buscar proyecto intensivo;Comprometer horario fijo,
,ocupacional,,enfoque,Registrarme en proyecto intensivo de verano/invierno,Consultar catálogo de proyectos;Contactar organizaciones;Completar registro antes del deadline;Preparar documentación,
,ocupacional,,enfoque,Desarrollar portfolio profesional online en 3 semanas,Elegir plataforma (GitHub/Behance/Web);Documentar 5 mejores proyectos;Redactar descripciones de impacto;Compartir con reclutadores,
,ocupacional,,enfoque,Preparar para reclutamiento de empresas top-tier en 8 semanas,Practicar 50 problemas de coding/cases;Agendar 5 mock interviews;Investigar cultura empresarial;Conectar con empleados en LinkedIn,
,,,enfoque,Obtener TOEFL 100+ o IELTS 7+ para intercambio en 6 semanas,Registrar fecha de examen;Tomar diagnóstico gratuito;Estudiar 2 horas diarias;Practicar con simulacros semanales,
,ocupacional,,enfoque,Diseñar plan B y C para Semestre Tec con fechas límite,Identificar 3 alternativas viables;Documentar requisitos de cada una;Establecer timeline crítico;Validar con coordinador,
,intelectual,,enfoque,Obtener TOEFL 100+ o IELTS 7+ para intercambio en 6 semanas,Registrar fecha de examen;Tomar diagnóstico gratuito;Estudiar 2 horas diarias;Practicar con simulacros semanales,
,intelectual,,enfoque,Alcanzar nivel B2 en francés/alemán para intercambio europeo,Inscribirse a curso intensivo;Practicar 1 hora diaria con apps;Sesiones conversación 2x semana;Ver contenido en idioma target,
,intelectual,,enfoque,Preparar certificación de inglés técnico/negocios en 5 semanas,Inscribirse a TOEIC o Cambridge Business;Completar libro preparación;Unirse a grupo de estudio;Practicar speaking diario,
,ocupacional,,enfoque,Conseguir 3 proyectos freelance para ganar experiencia,Crear portfolio online;Registrarse en 2 plataformas;Aplicar a 10 proyectos pequeños;Pedir testimonios de clientes,
