Id,TemaOperativo,Dimension,Etapa,MetaBase,PasosBase,HorizonteSugerido,IndicadorLogro,CuandoUsarla,NivelDificultad,FrecuenciaSeguimiento,ConexionDiagnostico,PreguntasParaAfinar,Activa
EMO003,bienestar cotidiano,emocional,multietapa,Acudir a Consejería Emocional para un chequeo emocional.,Acudir a Consejería Emocional para solicitar una cita esta semana; Preparar 1 o 2 temas de los que me gustaría hablar.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
EMO004,bienestar cotidiano,emocional,multietapa,Practicar la técnica de respiración 4-7-8 cuando sienta ansiedad o estrés.,Ver un video tutorial de la técnica hoy; Practicarla 3 veces al día en momentos de calma; Usarla activamente en la próxima situación estresante.,4 a 6 semanas,Practicó la técnica con constancia y puede describir al menos una situación en la que la utilizó.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
EMO005,bienestar cotidiano,emocional,multietapa,Dedicar 1 hora a la semana a un hobby que me relaje y no sea digital.,Hacer una lista de 5 posibles hobbies hoy; Comprar los materiales básicos para uno esta semana; Bloquear 1 hora en mi agenda del fin de semana.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
SOC001,integracion social,social,multietapa,Unirme a un grupo estudiantil y asistir a todas sus reuniones por 5 semanas.,Investigar los grupos estudiantiles disponibles en el Tec; Asistir a una reunión de prueba esta semana; Presentarme con al menos 2 miembros del grupo.,5 semanas,Se integró al espacio elegido y puede señalar asistencias o participación concreta.,"Aplica para estudiantes que necesitan fortalecer pertenencia, red de apoyo o exposición social en contextos universitarios concretos.",media,quincenal,,¿Qué tipo de vínculo o red te hace falta fortalecer? | ¿Con quién podrías dar el primer paso esta semana? | ¿Qué acción concreta sería una señal de avance?,Si
SOC002,integracion social,social,multietapa,Iniciar una conversación con un compañero nuevo en cada una de mis clases.,Preparar una pregunta simple para romper el hielo (ej. ¿Qué te pareció la tarea?); Sentarme junto a alguien diferente cada día; Intentar recordar el nombre de una persona nueva por clase.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan fortalecer pertenencia, red de apoyo o exposición social en contextos universitarios concretos.",baja,quincenal,,¿Qué tipo de vínculo o red te hace falta fortalecer? | ¿Con quién podrías dar el primer paso esta semana? | ¿Qué acción concreta sería una señal de avance?,Si
SOC003,integracion social,social,multietapa,Organizar una actividad recreativa (online o presencial) con mi grupo de amigos.,Proponer 3 ideas de actividades en el chat grupal; Crear una encuesta para decidir la fecha y hora; Encargarme de un aspecto de la organización.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan fortalecer pertenencia, red de apoyo o exposición social en contextos universitarios concretos.",baja,quincenal,,¿Qué tipo de vínculo o red te hace falta fortalecer? | ¿Con quién podrías dar el primer paso esta semana? | ¿Qué acción concreta sería una señal de avance?,Si
SOC004,integracion social,social,multietapa,Reducir el tiempo en redes sociales a 1 hora diaria por 4 semanas.,Usar la función de bienestar digital de mi celular para poner un límite; Desactivar las notificaciones de 3 apps; Reemplazar 30 min de scroll con una llamada a un amigo.,4 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan fortalecer pertenencia, red de apoyo o exposición social en contextos universitarios concretos.",media,quincenal,,¿Qué tipo de vínculo o red te hace falta fortalecer? | ¿Con quién podrías dar el primer paso esta semana? | ¿Qué acción concreta sería una señal de avance?,Si
SOC005,integracion social,social,multietapa,Dar seguimiento a un contacto que hice en un evento de networking.,Enviar un correo o mensaje de LinkedIn dentro de las 24h; Mencionar algo específico de su conversación; Proponer una breve llamada o café para seguir platicando.,4 a 6 semanas,Asistió al número de eventos definido y dio seguimiento a contactos clave.,"Aplica para estudiantes que necesitan fortalecer pertenencia, red de apoyo o exposición social en contextos universitarios concretos.",media,quincenal,,¿Qué tipo de vínculo o red te hace falta fortalecer? | ¿Con quién podrías dar el primer paso esta semana? | ¿Qué acción concreta sería una señal de avance?,Si
INT001,academico,intelectual,multietapa,Leer 1 libro no académico en 5 semanas.,Pedir 3 recomendaciones de libros a amigos o mentores; Elegir y conseguir el libro esta semana; Leer 15 páginas o 20 minutos al día.,5 semanas,Completó el consumo comprometido y puede compartir aprendizajes concretos obtenidos.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,media,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
INT002,academico,intelectual,multietapa,Escuchar 3 episodios de un podcast sobre un tema nuevo para mí cada semana.,Explorar categorías de podcasts que no conozco; Suscribirme a 2 podcasts que parezcan interesantes; Comentar un dato interesante que aprendí con un amigo.,4 a 6 semanas,Completó el consumo comprometido y puede compartir aprendizajes concretos obtenidos.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,media,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
INT003,academico,intelectual,multietapa,Ver una charla TED a la semana y escribir 3 ideas clave que me dejó.,"Crear una playlist de charlas TED sobre un tema (ej. IA, sostenibilidad); Ver la primera charla esta semana; Compartir una de las ideas en mis redes o con mi familia.",4 a 6 semanas,Completó el consumo comprometido y puede compartir aprendizajes concretos obtenidos.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,baja,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
INT004,academico,intelectual,multietapa,Aprender 5 conceptos básicos sobre Inteligencia Artificial Generativa.,Buscar un artículo o video introductorio sobre IA Generativa; Probar una herramienta como ChatGPT o Gemini con prompts específicos; Explicarle a alguien qué es la IA Generativa.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,baja,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
INT005,academico,intelectual,multietapa,Visitar un museo o exposición cultural (virtual o presencial) en 3 semanas.,Investigar la cartelera cultural de mi ciudad; Elegir una exposición y comprar los boletos; Invitar a un amigo o familiar a que me acompañe.,3 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,Aplica para estudiantes que ya identifican una fricción concreta en su desempeño y necesitan una meta académica más accionable que aspiracional.,baja,quincenal,desempeno_academico,¿En qué materia o clase te urge más avanzar? | ¿Qué obstáculo concreto te está frenando hoy? | ¿Qué cambio semanal sí podrías sostener este periodo?,Si
ESP001,bienestar cotidiano,espiritual,multietapa,"Meditar 10 minutos al día usando una app (Headspace, Calm) por 30 días.",Descargar una app de meditación y hacer la sesión introductoria; Poner un recordatorio diario a la misma hora; Crear un espacio cómodo y sin distracciones para meditar.,30 dias,Sostuvo la práctica durante el periodo definido y puede nombrar su rutina y aprendizajes.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",alta,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
ESP002,bienestar cotidiano,espiritual,multietapa,Pasar 30 minutos a la semana en contacto con la naturaleza sin tecnología.,Identificar un parque o área verde cerca de mi casa o del campus; Agendar esta actividad en mi calendario como una cita; Dejar el celular en modo avión durante ese tiempo.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",baja,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
ESP003,bienestar cotidiano,espiritual,multietapa,Escribir sobre mis valores personales y cómo se alinean con mis acciones.,Hacer una lista de 10 valores importantes para mí; Elegir los 3 más importantes; Escribir un ejemplo de cómo viví uno de esos valores esta semana.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",media,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
ESP004,bienestar cotidiano,espiritual,multietapa,Participar en un círculo de diálogo o grupo de reflexión en el campus.,Investigar si Punto Blanco u otros departamentos ofrecen estos espacios; Inscribirme a una sesión esta semana; Escuchar activamente sin juzgar las opiniones de otros.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",media,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
ESP005,bienestar cotidiano,espiritual,multietapa,Realizar un acto de amabilidad anónimo cada semana.,Hacer una lluvia de ideas de actos sencillos (ej. dejar una nota positiva); Realizar el primer acto esta semana; Reflexionar por 1 minuto sobre cómo me sentí al hacerlo.,4 a 6 semanas,Puede mostrar una evidencia concreta de avance y nombrar al menos una acción sostenida relacionada con la meta.,"Aplica para estudiantes que necesitan recuperar energía, estabilidad o autocuidado mediante hábitos observables y sostenibles.",media,quincenal,,¿Qué hábito o práctica te daría más estabilidad hoy? | ¿En qué momento del día o de la semana sí podrías sostenerlo? | ¿Qué señal te mostraría que vas avanzando?,Si
FIN001,organizacion personal,financiera,multietapa,Crear un presupuesto mensual y registrar todos mis gastos por 5 semanas.,"Descargar una app de finanzas personales (ej. Fintonic, Mobills); Conectar mi cuenta o registrar mis gastos manualmente por una semana; Analizar mis gastos y crear categorías de presupuesto.",5 semanas,Llevó un registro financiero y puede mostrar decisiones concretas de ahorro o ajuste de gasto.,"Aplica para estudiantes que necesitan ordenar hábitos de manejo de recursos, tiempo o decisiones prácticas del periodo.",baja,quincenal,,¿Qué decisión financiera u organizativa necesitas ordenar primero? | ¿Qué registro o hábito te daría más claridad? | ¿Cómo sabrás que esta meta sí está funcionando?,Si
